Pattern,Fichier,Detail
titre-tronque,sources/shabbat/siman-320/niveau-1-base-en.html,"Siman <bdi>ש""כ</bdi> · Level 1 — Sechitah (Squeezing) on | Hilkhot Shabbat"
compteur-3-niveaux,sources/shabbat/siman-320/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-320/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-320/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-320/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-320/niveau-4-daat-harav.html,3 meta
commentaire-a-verifier,sources/shabbat/siman-320/niveau-4-daat-harav.html,1
coquille-sikhot,sources/shabbat/siman-320/niveau-4-daat-harav-he.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-320/niveau-4-daat-harav-he.html,5 meta
meta-gershayim,sources/shabbat/siman-320/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-320/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-320/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-320/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-320/niveau-2-lamdan-he.html,3 meta
meta-gershayim,sources/shabbat/siman-275/niveau-4-daat-harav-en.html,3 meta
commentaire-a-verifier,sources/shabbat/siman-275/niveau-4-daat-harav-en.html,3
meta-gershayim,sources/shabbat/siman-275/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-275/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-275/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-275/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-275/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-275/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-275/niveau-4-daat-harav.html,3 meta
commentaire-a-verifier,sources/shabbat/siman-275/niveau-4-daat-harav.html,3
meta-gershayim,sources/shabbat/siman-275/niveau-4-daat-harav-he.html,3 meta
meta-gershayim,sources/shabbat/siman-275/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-275/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-275/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-275/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-275/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-307/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-307/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-307/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-307/niveau-1-base-en.html,5 meta
compteur-3-niveaux,sources/shabbat/siman-307/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-307/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-307/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-307/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-307/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-307/niveau-4-daat-harav-he.html,5 meta
meta-gershayim,sources/shabbat/siman-307/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-307/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-307/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-307/niveau-1-base-he.html,5 meta
meta-gershayim,sources/shabbat/siman-307/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-257/niveau-4-daat-harav-en.html,סיכות (→שיחות)
commentaire-a-verifier,sources/shabbat/siman-257/niveau-4-daat-harav-en.html,5
compteur-3-niveaux,sources/shabbat/siman-257/index-he.html,שלוש רמות
compteur-3-niveaux,sources/shabbat/siman-257/index.html,Les 3 niveaux
coquille-sikhot,sources/shabbat/siman-257/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-257/niveau-4-daat-harav.html,3 meta
commentaire-a-verifier,sources/shabbat/siman-257/niveau-4-daat-harav.html,5
coquille-sikhot,sources/shabbat/siman-246/niveau-4-daat-harav-en.html,סיכות (→שיחות)
titre-tronque,sources/shabbat/siman-246/niveau-1-base-en.html,Siman רמ״ו · Level 1 — Lending and Renting Kelim to | Hilkhot Shabbat
compteur-3-niveaux,sources/shabbat/siman-246/index-he.html,שלוש רמות
meta-gershayim,sources/shabbat/siman-246/index-he.html,5 meta
titre-tronque,sources/shabbat/siman-246/niveau-1-base.html,Siman רמ״ו · Niveau 1 — Prêt et location à un | Hilkhot Shabbat
coquille-sikhot,sources/shabbat/siman-246/niveau-4-daat-harav.html,סיכות (→שיחות)
titre-siman-242,sources/shabbat/siman-246/niveau-4-daat-harav.html,Siman 242 · Niveau 4 — Chitah de l'Admour HaZaken | Hilkhot Shabbat
coquille-sikhot,sources/shabbat/siman-246/niveau-4-daat-harav-he.html,סיכות (→שיחות)
titre-tronque,sources/shabbat/siman-246/index-en.html,Siman רמ״ו — Lending and Renting Utensils to a | Hilkhot Shabbat
coquille-sikhot,sources/shabbat/siman-295/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-295/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-295/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-295/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-295/index.html,Les 3 niveaux
titre-tronque,sources/shabbat/siman-295/index.html,Siman 295 — Avdala faite par le chliach tsibour à | Hilkhot Shabbat
meta-gershayim,sources/shabbat/siman-295/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-295/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-295/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-295/niveau-4-daat-harav.html,3 meta
commentaire-a-verifier,sources/shabbat/siman-295/niveau-4-daat-harav.html,1
meta-gershayim,sources/shabbat/siman-295/niveau-4-daat-harav-he.html,5 meta
meta-gershayim,sources/shabbat/siman-295/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-295/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-295/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-295/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-295/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-337/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-337/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-337/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-337/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-337/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-337/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-337/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-337/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-337/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-337/niveau-4-daat-harav-he.html,5 meta
meta-gershayim,sources/shabbat/siman-337/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-337/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-337/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-337/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-337/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-284/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-284/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-284/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-284/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-284/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-284/niveau-1-base.html,4 meta
coquille-sikhot,sources/shabbat/siman-284/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-284/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-284/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-284/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-284/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-284/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-283/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-283/niveau-2-lamdan-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-283/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-283/niveau-1-base.html,4 meta
coquille-sikhot,sources/shabbat/siman-283/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-283/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-283/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-283/niveau-3-synthese.html,3 meta
titre-tronque,sources/shabbat/siman-283/index-en.html,Siman 283 — Why we don't take out 2 Sifrei Torah on | Hilkhot Shabbat
meta-gershayim,sources/shabbat/siman-283/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-286/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-286/niveau-4-daat-harav-en.html,3 meta
titre-tronque,sources/shabbat/siman-286/niveau-4-daat-harav-en.html,Siman 286 · Level 4 — Shitah of the Alter Rebbe on | Hilkhot Shabbat
meta-gershayim,sources/shabbat/siman-286/niveau-2-lamdan-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-286/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-286/niveau-1-base.html,4 meta
coquille-sikhot,sources/shabbat/siman-286/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-286/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-286/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-286/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-286/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-343/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-343/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-343/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-343/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-343/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-343/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-343/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-343/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-343/niveau-4-daat-harav.html,3 meta
coquille-sikhot,sources/shabbat/siman-343/niveau-4-daat-harav-he.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-343/niveau-4-daat-harav-he.html,3 meta
meta-gershayim,sources/shabbat/siman-343/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-343/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-343/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-343/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-343/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-327/niveau-4-daat-harav-en.html,סיכות (→שיחות)
titre-tronque,sources/shabbat/siman-327/niveau-4-daat-harav-en.html,Siman שכ״ז · Level 4 — Daat HaRav — Shitah of the | Hilkhot Shabbat
meta-gershayim,sources/shabbat/siman-327/niveau-2-lamdan-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-327/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-327/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-327/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-327/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-327/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-327/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-327/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-327/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-327/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-270/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-270/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-270/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-270/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-270/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-270/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-270/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-270/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-270/niveau-4-daat-harav.html,3 meta
coquille-sikhot,sources/shabbat/siman-270/niveau-4-daat-harav-he.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-270/niveau-4-daat-harav-he.html,3 meta
meta-gershayim,sources/shabbat/siman-270/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-270/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-270/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-270/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-270/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-247/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-247/index-he.html,6 meta
compteur-3-niveaux,sources/shabbat/siman-247/index.html,Les 3 niveaux
titre-tronque,sources/shabbat/siman-247/index.html,Siman 247 — Envoyer une lettre ou un objet par un | Hilkhot Shabbat
titre-tronque,sources/shabbat/siman-247/niveau-1-base.html,Siman רמ״ז · Niveau 1 — Envoyer une lettre par un | Hilkhot Shabbat
coquille-sikhot,sources/shabbat/siman-247/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-247/niveau-4-daat-harav.html,3 meta
titre-tronque,sources/shabbat/siman-247/index-en.html,Siman 247 — Sending a Letter or Item via a | Hilkhot Shabbat
coquille-sikhot,sources/shabbat/siman-329/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-329/niveau-2-lamdan-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-329/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-329/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-329/niveau-3-synthese-he.html,2 meta
coquille-sikhot,sources/shabbat/siman-329/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-329/niveau-4-daat-harav.html,3 meta
coquille-sikhot,sources/shabbat/siman-329/niveau-4-daat-harav-he.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-329/niveau-4-daat-harav-he.html,3 meta
meta-gershayim,sources/shabbat/siman-329/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-329/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-329/niveau-1-base-he.html,2 meta
meta-gershayim,sources/shabbat/siman-329/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-306/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-306/niveau-2-lamdan-en.html,3 meta
titre-tronque,sources/shabbat/siman-306/niveau-2-lamdan-en.html,"Siman <bdi>ש""ו</bdi> · Level 2 — Sur quels sujets parler à | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-306/niveau-1-base-en.html,4 meta
titre-tronque,sources/shabbat/siman-306/niveau-1-base-en.html,"Siman <bdi>ש""ו</bdi> · Level 1 — Forbidden Activities on | Hilkhot Shabbat"
compteur-3-niveaux,sources/shabbat/siman-306/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-306/niveau-1-base.html,4 meta
titre-tronque,sources/shabbat/siman-306/niveau-1-base.html,"Siman <bdi>ש""ו</bdi> · Niveau 1 — Sur quels sujets parler à | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-306/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-306/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-306/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-306/niveau-4-daat-harav-he.html,3 meta
meta-gershayim,sources/shabbat/siman-306/niveau-2-lamdan.html,3 meta
titre-tronque,sources/shabbat/siman-306/niveau-2-lamdan.html,"Siman <bdi>ש""ו</bdi> · Niveau 2 — Sur quels sujets parler à | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-306/niveau-3-synthese-en.html,3 meta
titre-tronque,sources/shabbat/siman-306/niveau-3-synthese-en.html,"Siman <bdi>ש""ו</bdi> · Level 3 — Forbidden Activities on | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-306/niveau-3-synthese.html,3 meta
titre-tronque,sources/shabbat/siman-306/niveau-3-synthese.html,"Siman <bdi>ש""ו</bdi> · Niveau 3 — Sur quels sujets parler à | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-306/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-306/niveau-2-lamdan-he.html,3 meta
meta-gershayim,sources/shabbat/siman-323/niveau-2-lamdan-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-323/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-323/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-323/niveau-3-synthese-he.html,2 meta
coquille-sikhot,sources/shabbat/siman-323/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-323/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-323/niveau-4-daat-harav-he.html,2 meta
meta-gershayim,sources/shabbat/siman-323/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-323/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-323/niveau-1-base-he.html,2 meta
meta-gershayim,sources/shabbat/siman-323/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-266/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-266/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-266/niveau-1-base-en.html,4 meta
titre-tronque,sources/shabbat/siman-266/niveau-1-base-en.html,"Siman <bdi>רס""ו</bdi> · Level 1 — One Caught by Shabbos On the | Hilkhot Shabbat"
compteur-3-niveaux,sources/shabbat/siman-266/index-he.html,שלוש רמות
compteur-3-niveaux,sources/shabbat/siman-266/index.html,Les 3 niveaux
titre-tronque,sources/shabbat/siman-266/index.html,Siman 266 — Le voyageur surpris par l'entrée de | Hilkhot Shabbat
meta-gershayim,sources/shabbat/siman-266/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-266/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-266/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-266/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-266/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-266/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-266/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-266/niveau-1-base-he.html,4 meta
titre-tronque,sources/shabbat/siman-266/index-en.html,Siman 266 — The Traveler Caught by Shabbos on the | Hilkhot Shabbat
meta-gershayim,sources/shabbat/siman-266/niveau-2-lamdan-he.html,3 meta
titre-tronque,sources/shabbat/siman-266/niveau-2-lamdan-he.html,"Siman <bdi>רס""ו</bdi> · רמה 2 — Le voyageur surpris par l'entrée de | הלכות שבת"
coquille-sikhot,sources/shabbat/siman-300/niveau-4-daat-harav-en.html,סיכות (→שיחות)
compteur-3-niveaux,sources/shabbat/siman-300/index.html,Les 3 niveaux
coquille-sikhot,sources/shabbat/siman-300/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-300/niveau-4-daat-harav-he.html,3 meta
titre-tronque,sources/shabbat/siman-300/index-en.html,Siman 300 — Melaveh Malkah — the escorting meal of | Hilkhot Shabbat
coquille-sikhot,sources/shabbat/siman-263/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-263/niveau-4-daat-harav-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-263/index-he.html,שלוש רמות
compteur-3-niveaux,sources/shabbat/siman-263/index.html,Les 3 niveaux
coquille-sikhot,sources/shabbat/siman-263/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-263/niveau-4-daat-harav.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-263/index-en.html,3 levels of limud
coquille-sikhot,sources/shabbat/siman-345/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-345/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-345/niveau-2-lamdan-en.html,3 meta
meta-gershayim,sources/shabbat/siman-345/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-345/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-345/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-345/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-345/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-345/niveau-4-daat-harav.html,3 meta
coquille-sikhot,sources/shabbat/siman-345/niveau-4-daat-harav-he.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-345/niveau-4-daat-harav-he.html,3 meta
meta-gershayim,sources/shabbat/siman-345/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-345/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-345/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-345/niveau-1-base-he.html,4 meta
meta-gershayim,sources/shabbat/siman-345/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-276/niveau-4-daat-harav-en.html,סיכות (→שיחות)
commentaire-a-verifier,sources/shabbat/siman-276/niveau-4-daat-harav-en.html,5
meta-gershayim,sources/shabbat/siman-276/niveau-2-lamdan-en.html,3 meta
titre-tronque,sources/shabbat/siman-276/niveau-2-lamdan-en.html,"Siman <bdi>רע""ו</bdi> · Level 2 — Bougie allumée par un | Hilkhot Shabbat"
titre-tronque,sources/shabbat/siman-276/niveau-1-base-en.html,"Siman <bdi>רע""ו</bdi> · Level 1 — Candle lit by a non-Jew on | Hilkhot Shabbat"
compteur-3-niveaux,sources/shabbat/siman-276/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-276/niveau-1-base.html,4 meta
titre-tronque,sources/shabbat/siman-276/niveau-1-base.html,"Siman <bdi>רע""ו</bdi> · Niveau 1 — Bougie allumée par un | Hilkhot Shabbat"
coquille-sikhot,sources/shabbat/siman-276/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-276/niveau-4-daat-harav.html,3 meta
commentaire-a-verifier,sources/shabbat/siman-276/niveau-4-daat-harav.html,5
coquille-sikhot,sources/shabbat/siman-276/niveau-4-daat-harav-he.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-276/niveau-2-lamdan.html,3 meta
titre-tronque,sources/shabbat/siman-276/niveau-2-lamdan.html,"Siman <bdi>רע""ו</bdi> · Niveau 2 — Bougie allumée par un | Hilkhot Shabbat"
titre-tronque,sources/shabbat/siman-276/niveau-3-synthese-en.html,"Siman <bdi>רע""ו</bdi> · Level 3 — Candle lit by a non-Jew on | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-276/niveau-3-synthese.html,3 meta
titre-tronque,sources/shabbat/siman-276/niveau-3-synthese.html,"Siman <bdi>רע""ו</bdi> · Niveau 3 — Bougie allumée par un | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-276/niveau-2-lamdan-he.html,3 meta
meta-gershayim,sources/shabbat/siman-316/niveau-2-lamdan-en.html,3 meta
compteur-3-niveaux,sources/shabbat/siman-316/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-316/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-316/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-316/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-316/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-316/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-316/niveau-3-synthese-en.html,3 meta
titre-tronque,sources/shabbat/siman-316/niveau-3-synthese-en.html,"Siman <bdi>שט""ז</bdi> · Level 3 — Tzeida (Trapping Animals) on | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-316/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-316/niveau-2-lamdan-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-349/niveau-4-daat-harav-en.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-349/niveau-4-daat-harav-en.html,3 meta
meta-gershayim,sources/shabbat/siman-349/niveau-2-lamdan-en.html,3 meta
titre-tronque,sources/shabbat/siman-349/niveau-2-lamdan-en.html,"Siman <bdi>שמ""ט</bdi> · Level 2 — Les 4 amot personnelles dans | Hilkhot Shabbat"
meta-gershayim,sources/shabbat/siman-349/niveau-1-base-en.html,4 meta
compteur-3-niveaux,sources/shabbat/siman-349/index-he.html,שלוש רמות
compteur-3-niveaux,sources/shabbat/siman-349/index.html,Les 3 niveaux
meta-gershayim,sources/shabbat/siman-349/niveau-1-base.html,4 meta
meta-gershayim,sources/shabbat/siman-349/niveau-3-synthese-he.html,3 meta
coquille-sikhot,sources/shabbat/siman-349/niveau-4-daat-harav.html,סיכות (→שיחות)
meta-gershayim,sources/shabbat/siman-349/niveau-4-daat-harav.html,3 meta
meta-gershayim,sources/shabbat/siman-349/niveau-4-daat-harav-he.html,5 meta
meta-gershayim,sources/shabbat/siman-349/niveau-2-lamdan.html,3 meta
meta-gershayim,sources/shabbat/siman-349/niveau-3-synthese-en.html,3 meta
meta-gershayim,sources/shabbat/siman-349/niveau-3-synthese.html,3 meta
meta-gershayim,sources/shabbat/siman-349/niveau-1-base-he.html,4 meta
