Fichier_FR,Variante,Probleme,Titre
sources/shabbat/siman-322/index.html,index-en.html,EN-title=FR (non traduit),Siman 322 — L'œuf pondu le Chabbat (Nolad) | Hilkhot Shabbat
sources/shabbat/siman-322/index.html,index-he.html,HE-title sans hébreu,Siman 322 — L'œuf pondu le Chabbat (Nolad) | הלכות שבת
sources/shabbat/siman-304/index.html,index-en.html,EN-title=FR (non traduit),Siman 304 — Le repos du serviteur et de l'esclave | Hilkhot Shabbat
sources/shabbat/siman-304/index.html,index-he.html,HE-title sans hébreu,Siman 304 — Le repos du serviteur et de l'esclave le | הלכות שבת
