Fichier_source,Lien,Cible_resolue,Type
admin/index.html,../../../index.html,HORS-RACINE,rel
admin/index.html,../../../index.html,HORS-RACINE,rel
admin/index.html,../../../index.html,HORS-RACINE,rel
admin/index.html,../../../index.html,HORS-RACINE,rel
