URL,Langue,Section,Siman,Seif,Niveau,Fichier_source,Titre,Statut_HTTP,Indexable,Present_dans_sitemap,Commentaires
https://daattorah.com/blog/hatmana-envelopper-plats-chauds-shabbat.html,fr,blog,,,,blog/hatmana-envelopper-plats-chauds-shabbat.html,"La hatmana : envelopper les plats chauds avant Shabbat, permis ou interdit ? (Siman 257) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/honorer-shabbat-kavod-oneg-en.html,en,blog,,,,blog/honorer-shabbat-kavod-oneg-en.html,Kavod and Oneg Shabbos: Honoring and Enjoying Shabbos | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/honorer-shabbat-kavod-oneg-he.html,he,blog,,,,blog/honorer-shabbat-kavod-oneg-he.html,כבוד ועונג שבת: כיצד מכבדים ומענגים את השבת? (סימן רמ״ב) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/honorer-shabbat-kavod-oneg.html,fr,blog,,,,blog/honorer-shabbat-kavod-oneg.html,Kavod et Oneg Shabbat : comment honorer et savourer le Shabbat | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/index-en.html,en,blog,,,Index,blog/index-en.html,Halacha Blog — Halacha Applied to Modern Life | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/index-he.html,he,blog,,,Index,blog/index-he.html,בלוג הלכתי — ההלכה ביישום לחיים המודרניים | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/,fr,blog,,,Index,blog/index.html,Blog halakhique — La halakha appliquée à la vie moderne | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/livraison-colis-shabbat-en.html,en,blog,,,,blog/livraison-colis-shabbat-en.html,"Can You Have a Package Delivered on Shabbat? (Amazon, USPS, FedEx) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/livraison-colis-shabbat-he.html,he,blog,,,,blog/livraison-colis-shabbat-he.html,"האם מותר לקבל משלוח חבילה בשבת? (אמזון, דואר, שליחויות) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/livraison-colis-shabbat.html,fr,blog,,,,blog/livraison-colis-shabbat.html,"Peut-on se faire livrer un colis pendant Shabbat ? (Amazon, La Poste, Chronopost) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/louer-bien-non-juif-shabbat-en.html,en,blog,,,,blog/louer-bien-non-juif-shabbat-en.html,Can You Rent Property to a Non-Jew Who Uses It on Shabbos? | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/louer-bien-non-juif-shabbat-he.html,he,blog,,,,blog/louer-bien-non-juif-shabbat-he.html,"האם מותר להשכיר נכס (מרחץ, שדה...) לגוי שיעבוד בו בשבת? (סימן רמ״ג) | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/louer-bien-non-juif-shabbat.html,fr,blog,,,,blog/louer-bien-non-juif-shabbat.html,"Peut-on louer un bien (bain, champ…) à un non-juif qui l'exploite Shabbat ? | DAAT דעת",200 (fichier présent),oui,oui,
https://daattorah.com/blog/melakha-vendredi-apres-minha-en.html,en,blog,,,,blog/melakha-vendredi-apres-minha-en.html,Can You Do Work on Friday Afternoon? Melacha from Mincha of Erev Shabbos (Siman 251) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/melakha-vendredi-apres-minha-he.html,he,blog,,,,blog/melakha-vendredi-apres-minha-he.html,האם מותר לעשות מלאכה בערב שבת אחר המנחה? (סימן רנ״א) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/melakha-vendredi-apres-minha.html,fr,blog,,,,blog/melakha-vendredi-apres-minha.html,Peut-on travailler le vendredi après-midi ? La mélakha à partir de Minha (Siman 251) | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/muktse-telephone-argent-shabbat-en.html,en,blog,,,,blog/muktse-telephone-argent-shabbat-en.html,Can You Touch Your Phone or Money on Shabbat? Muktzeh Explained | DAAT דעת,200 (fichier présent),oui,oui,
https://daattorah.com/blog/muktse-telephone-argent-shabbat-he.html,he,blog,,,,blog/muktse-telephone-argent-shabbat-he.html,האם מותר לגעת בטלפון או בכסף בשבת? מוקצה מבואר | DAAT דעת,200 (fichier présent),oui,oui,
